ss,Country,Code,Year,Mismanaged Plastic,GDP,Population
100,Monaco,A100,2012,803.3400236624746,5742748405.54688,34700.0
100,Monaco,A100,2013,831.4461173451473,6555590641.56865,35425.0
100,Monaco,A100,2014,853.8165192310412,7069351223.5686,36110.0
100,Monaco,A100,2015,889.7694471649929,6261646949.53125,36760.0
100,Monaco,A100,2016,912.7940723311737,6472837332.95721,37071.0
100,Monaco,A100,2017,938.7138337190719,6431274937.64707,37044.0
100,Monaco,A100,2018,967.7671846433913,7194256778.2745,37029.0
100,Monaco,A100,2019,987.8837825990032,7383941919.21567,37034.0
101,Montenegro,A101,2000,4453.751078071135,984292969.877649,604950.0
101,Montenegro,A101,2001,4668.061823442598,1159869245.92513,607389.0
101,Montenegro,A101,2002,4956.819951649976,1284685050.52413,609828.0
101,Montenegro,A101,2003,5225.226051842987,1707710053.14938,612267.0
101,Montenegro,A101,2004,5533.269786207009,2073234417.68066,613353.0
101,Montenegro,A101,2005,5782.593190267807,2257174480.78597,614261.0
101,Montenegro,A101,2006,6103.381543074222,2721903148.91482,615025.0
101,Montenegro,A101,2007,6438.92336170588,3680711743.77224,615875.0
101,Montenegro,A101,2008,6525.9178365593725,4545674527.61096,616969.0
101,Montenegro,A101,2009,6756.976853536392,4159330369.5471,618294.0
101,Montenegro,A101,2010,7151.332295313334,4142983897.83334,619428.0
101,Montenegro,A101,2011,7428.98491950246,4544429062.57783,620079.0
101,Montenegro,A101,2012,7665.398930357323,4087525609.43086,620601.0
101,Montenegro,A101,2013,7933.584772100223,4465771672.62001,621207.0
101,Montenegro,A101,2014,8147.0411537529335,4593852089.09567,621810.0
101,Montenegro,A101,2015,8490.100788789763,4054728172.94375,622159.0
101,Montenegro,A101,2016,8709.799710693442,4376929571.63114,622303.0
101,Montenegro,A101,2017,8957.123764475917,4856602178.63413,622373.0
101,Montenegro,A101,2018,9234.348250420542,5506944403.30196,622227.0
101,Montenegro,A101,2019,9426.299035778355,5542053845.29274,622028.0
102,Morocco,A102,2000,118133.09003359398,43017455401.4244,28554415.0
102,Morocco,A102,2001,123817.55468694819,43831480206.4535,28930097.0
102,Morocco,A102,2002,131476.69175130065,47077192183.7329,29301817.0
102,Morocco,A102,2003,138596.0034155257,58029361338.6298,29661270.0
102,Morocco,A102,2004,146766.67967650562,66114147932.3903,30033125.0
102,Morocco,A102,2005,153379.8342114358,68852655479.5601,30431902.0
102,Morocco,A102,2006,161888.55387257607,75883820424.0845,30833022.0
102,Morocco,A102,2007,170788.60041213626,86947909744.5993,31232633.0
102,Morocco,A102,2008,173096.07695272996,101822906946.027,31634992.0
102,Morocco,A102,2009,179224.77951763425,101154952243.015,32042877.0
102,Morocco,A102,2010,189684.82232021703,100865325482.244,32464865.0
102,Morocco,A102,2011,197049.3925165386,110080631330.061,32903699.0
102,Morocco,A102,2012,203320.13309901764,106937397478.353,33352169.0
102,Morocco,A102,2013,210433.60253926984,115739288446.799,33803527.0
102,Morocco,A102,2014,216095.40570473674,119130845829.482,34248603.0
102,Morocco,A102,2015,225194.85783896994,110413820681.034,34680458.0
102,Morocco,A102,2016,231022.2406600078,111572946646.535,35107264.0
102,Morocco,A102,2017,237582.36362170958,118540574727.552,35528115.0
102,Morocco,A102,2018,244935.57770654268,127341141871.205,35927511.0
102,Morocco,A102,2019,250026.95776151292,128920265075.525,36304408.0
103,Mozambique,A103,2000,18141.13210569676,5656473652.41147,17768505.0
103,Mozambique,A103,2001,19014.068081529924,5398557896.15748,18220716.0
103,Mozambique,A103,2002,20190.24502958524,5677013628.85057,18694946.0
103,Mozambique,A103,2003,21283.523579783214,6303399757.82376,19186754.0
103,Mozambique,A103,2004,22538.255149076507,7631106170.94621,19694411.0
103,Mozambique,A103,2005,23553.805576305997,8542083074.14716,20211114.0
103,Mozambique,A103,2006,24860.44884940746,9176896597.16802,20735982.0
103,Mozambique,A103,2007,26227.186314541883,10450826527.2066,21280513.0
103,Mozambique,A103,2008,26581.534420917516,12556173242.7736,21845571.0
103,Mozambique,A103,2009,27522.689882396044,11914471512.7684,22436660.0
103,Mozambique,A103,2010,29128.988492370052,11104649065.1649,23073723.0
103,Mozambique,A103,2011,30259.93021915595,14381552466.6044,23760421.0
103,Mozambique,A103,2012,31222.89777782183,16350813486.9908,24487611.0
103,Mozambique,A103,2013,32315.27916570184,16974314296.2182,25251731.0
103,Mozambique,A103,2014,33184.73512551783,17716091057.2675,26038704.0
103,Mozambique,A103,2015,34582.094351536936,15950979333.1582,26843246.0
103,Mozambique,A103,2016,35476.977584988745,11936993086.9579,27696493.0
103,Mozambique,A103,2017,36484.38420784102,13219079497.7055,28569441.0
103,Mozambique,A103,2018,37613.58203104613,14845400592.6712,29423878.0
103,Mozambique,A103,2019,38395.440849360784,15390031039.9957,30285595.0
104,Myanmar,A104,2000,187826.90044264134,6849321645.95623,45538332.0
104,Myanmar,A104,2001,196864.97246980705,6220270632.33592,46014826.0
104,Myanmar,A104,2002,209042.69485439526,6110632857.66584,46480230.0
104,Myanmar,A104,2003,220362.11638816088,7754647428.07323,46924293.0
104,Myanmar,A104,2004,233353.16568843488,9390855297.73553,47338446.0
104,Myanmar,A104,2005,243867.81757886548,10588433068.8549,47724471.0
104,Myanmar,A104,2006,257396.34239975063,11863016315.2934,48088274.0
104,Myanmar,A104,2007,271547.0613460295,15591182544.7092,48445647.0
104,Myanmar,A104,2008,275215.8569928764,23013015832.1023,48729486.0
104,Myanmar,A104,2009,284960.24957732065,29455165594.6859,49015836.0
104,Myanmar,A104,2010,301591.30034851254,37796052938.7278,49390988.0
104,Myanmar,A104,2011,313300.67316415603,54118601974.7947,49794522.0
104,Myanmar,A104,2012,323270.9005301886,58318677644.9492,50218185.0
104,Myanmar,A104,2013,334581.0331609025,60572257122.2962,50648334.0
104,Myanmar,A104,2014,343583.0743263674,63264892768.3726,51072436.0
